"","onep","twop","threep","fourp","fivep","sixp","player","Position","Years","Draft Round","Orig Team","Age At Sign","perc_GTD","Total","APY","Effective Length","contract_type","total_PB","one_year","last_PB","second_last_PB"
"1",99.99,99.97,98.83,80.29,0,0,"A.J. Brown","WR",4,"2","0","25",0.56470471,1e+08,2.5e+07,0,"Extension",2130812,532703,20237895,30791789
"2",99.99,99.69,96.62,0,0,0,"Aaron Donald","DT",3,"1","1","31",0.684210526,9.5e+07,31666667,0,"Extension",5.8e+07,19333333.33,28500000,4.1e+07
"3",99.99,99.99,99.92,0,0,0,"Aaron Rodgers","QB",3,"1","1","38",0.999005404,150815000,50271667,0,"Extension",125947138,41982379.33,41982379.33,83964758.66
"4",99.99,89.39,34.37,0,0,0,"Adam Thielen","WR",3,"8","1","32",0.408566047,44677058,14892353,0,"Extension",20100000,6700000,7e+06,13550000
"5",99.99,61.77,0,0,0,0,"Ahkello Witherspoon","CB",2,"3","1","27",0.370625,8e+06,4e+06,0,"Extension",2965000,1482500,1482500,4447500
"6",99.99,64.11,0,0,0,0,"Al-Quadin Muhammad","EDGE",2,"6","0","27",0.4125,8e+06,4e+06,0,"UFA",1e+06,5e+05,5e+05,1e+06
"7",99.99,75.86,0,0,0,0,"Alec Ingold","FB",2,"8","0","26",0.538461538,6500000,3250000,0,"UFA",1500000,750000,750000,1500000
"8",99.99,88.47,84.09,41.39,0,0,"Alex Cappa","RG",4,"3","0","27",0.314285714,3.5e+07,8750000,0,"UFA",9e+06,2250000,2250000,4500000
"9",99.99,86.49,58.78,0,0,0,"Allen Robinson","WR",3,"2","0","29",0.650537634,46500000,15500000,0,"UFA",1.4e+07,4666666.667,8400000,11200000
"10",99.99,73.02,0,0,0,0,"Andrew Norwell","LG",2,"8","0","30",0.57,1e+07,5e+06,0,"UFA",3500000,1750000,2800000,3500000
"11",99.99,85.4,67.02,0,0,0,"Austin Corbett","RG",3,"2","0","27",0.746666667,26250000,8750000,0,"UFA",9765000,3255000,5859000,7812000
"12",99.99,78.83,0,0,0,0,"Austin Johnson","DT",2,"2","0","28",0.758928571,1.4e+07,7e+06,0,"UFA",5500000,2750000,2750000,5500000
"13",99.99,69.3,43.02,0,0,0,"B.J. Hill","DT",3,"3","1","27",0.433333333,3e+07,1e+07,0,"Extension",1e+07,3333333.333,3333333,6666666
"14",99.99,53.19,0,0,0,0,"Ben Jones","C",2,"4","1","33",0.571428571,1.4e+07,7e+06,0,"Extension",6880000,3440000,4586666,6879999
"15",99.99,78.85,0,0,0,0,"Bilal Nichols","DT",2,"5","0","26",0.863636364,1.1e+07,5500000,0,"UFA",2375000,1187500,1187500,2375000
"16",99.99,69.2,0,0,0,0,"Bobby McCain","S",2,"5","0","29",0.57,1e+07,5e+06,0,"Extension",3500000,1750000,2800000,3500000
"17",99.99,91.87,72.79,36.89,6.88,0,"Bobby Wagner","LB",5,"2","0","32",0.4,5e+07,1e+07,0,"UFA",5e+06,1e+06,1e+06,2e+06
"18",99.99,57.28,33.26,0,0,0,"Bradley Roby","CB",3,"1","1","30",0.226666667,10500000,3500000,0,"Extension",3057901,1019300.333,1766950,2412425
"19",99.99,75.24,0,0,0,0,"Brandin Cooks","WR",2,"1","1","28",0.980769228,39764706,19882353,0,"Extension",23500000,11750000,7833333,15666666
"20",99.99,78.88,0,0,0,0,"Brandon Bolden","RB",2,"8","0","32",0.474051896,5010000,2505000,0,"UFA",1250000,625000,625000,1250000
"21",99.99,88.35,81.09,0,0,0,"Brandon Scherff","RG",3,"1","0","30",0.606060606,49500000,16500000,0,"UFA",1.5e+07,5e+06,5e+06,1e+07
"22",99.99,72.86,0,0,0,0,"Braxton Berrios","WR",2,"6","1","26",0.583333333,1.2e+07,6e+06,0,"Extension",5465000,2732500,2732000,5465000
"23",99.99,78.82,70.44,0,0,0,"Brian Allen","C",3,"4","0","28",0.444444444,1.8e+07,6e+06,0,"Extension",4e+06,1333333.333,2400000,3200000
