Team,onep,twop,threep,fourp,fivep,sixp,player,Position,Years,Draft Round,Orig Team,Age At Sign,contract_type,perc_GTD,Total,APY,Effective Length,second_last_PB,last_PB,7,8
CAR,99.88,71.95,32.56,0,0,0,A'Shawn Robinson,DT,3,2,0,28,UFA,0.327777778,22500000,7500000,0,2055000,2055000,0.06,0.06
BUF,99.78,69.03,0,0,0,0,A.J. Epenesa,EDGE,2,2,1,25,UFA,0.546666667,1.20E+07,6.00E+06,0,1.00E+06,1.00E+06,0.11,0.11
MIA,99.83,65.51,27.87,0,0,0,Aaron Brewer,C,3,8,0,33,UFA,0.486428571,2.10E+07,7.00E+06,0,1118000,1118000,0.08,0.09
DEN,99.44,77.26,0,0,0,0,Adam Trautman,TE,2,3,1,27,UFA,0.666666667,7500000,3750000,0,1500000,1500000,0.29,0.27
LAC,99.66,73.35,0,0,0,0,Alohi Gilman,S,2,6,1,26,UFA,0.555555556,10125000,5062500,0,2250000,2250000,0.19,0.15
DEN,99.51,60.04,0,0,0,0,Amik Robertson,CB,2,4,0,25,UFA,0.486486486,9250000,4625000,0,1650000,1650000,0.26,0.23
LV,99.9,76.49,43.24,0,0,0,Andre James,C,3,8,1,26,UFA,0.541666667,2.40E+07,8.00E+06,0,1716666,1716668,0.05,0.06
MIN,99.98,61.9,0,0,0,0,Andrew Van Ginkel,EDGE,2,5,0,28,UFA,0.5,2.00E+07,1.00E+07,0,1400000,1400000,0.01,0.01
NE,99.34,68.16,43.69,0,0,0,Anfernee Jennings,EDGE,3,3,1,26,UFA,0.458333333,1.20E+07,4.00E+06,0,1.00E+06,1.00E+06,0.31,0.35
NE,99.27,59.78,29.64,0,0,0,Antonio Gibson,RB,3,3,0,25,UFA,0.471111111,11250000,3750000,0,1.00E+06,1.00E+06,0.34,0.39
JAX,99.98,51.36,19.56,0,0,0,Arik Armstead,DT,3,1,0,30,SFA,0.643678161,43500000,14500000,0,2500000,2500000,0.01,0.01
BAL,98.47,74.3,0,0,0,0,Arthur Maulet,CB,2,8,1,30,UFA,0.125,4.00E+06,2.00E+06,0,250000,250000,0.74,0.79
WAS,99.68,76.04,0,0,0,0,Austin Ekeler,RB,2,8,0,28,UFA,0.49940688,8430000,4215000,0,1500000,1500000,0.17,0.15
NYG,98.32,72.56,0,0,0,0,Austin Schlottmann,C,2,8,0,28,UFA,0.178890877,2795000,1397500,0,250000,250000,0.8,0.88
TEN,99.97,71.89,32.03,0,0,0,Azeez Al-Shaair,LB,3,8,0,26,UFA,0.632352941,3.40E+07,11333333,0,2200000,2200000,0.01,0.01
TB,99.99,82.25,21.43,0,0,0,Baker Mayfield,QB,3,1,1,28,UFA,0.4,1.00E+08,33333333,0,5775000,5775000,0,0
ARI,99.84,71.82,28.81,0,0,0,Bilal Nichols,DT,3,5,0,27,UFA,0.571428571,2.10E+07,7.00E+06,0,2.00E+06,2.00E+06,0.07,0.08
MIN,98.91,67.2,42.44,0,0,0,Blake Brandel,LT,3,6,1,27,RFA,0.5,9500000,3166667,0,666666,666668,0.5,0.59
MIN,99.87,71.77,21.84,0,0,0,Blake Cashman,LB,3,5,0,27,UFA,0.421111111,22500000,7500000,0,1550000,1550000,0.06,0.06
ARI,98.4,74.2,0,0,0,0,Blake Gillikin,K,2,8,1,26,UFA,0.324324324,3700000,1850000,0,3.00E+05,3.00E+05,0.76,0.84
JAX,98.61,80.25,0,0,0,0,Blake Hance,RT,2,8,1,28,UFA,0.396196513,3155000,1577500,0,1.00E+05,1.00E+05,0.65,0.73
PHI,98.43,72.29,0,0,0,0,Braden Mann,P,2,6,1,26,UFA,0.660714286,4200000,2100000,0,2.00E+05,2.00E+05,0.74,0.83
DEN,99.74,59.82,30.6,0,0,0,Brandon Jones,S,3,3,0,25,UFA,0.55,2.00E+07,6666667,0,1833333,1833334,0.12,0.13
NYG,99.97,99.39,77.56,45.64,11.14,0,Brian Burns,EDGE,5,1,0,25,UFA,0.539007092,1.41E+08,28200000,0,7.00E+06,7.00E+06,0.01,0.02
PHI,99.99,71.89,27.03,0,0,0,Bryce Huff,EDGE,3,8,0,25,UFA,0.665362035,51100000,17033333,0,3225000,3225000,0,0
NYG,99.88,74.45,0,0,0,0,C.J. Mosley,LB,2,1,1,31,Extension,0.768115942,17250000,8625000,0,6034000,4534000,0.07,0.04
JAX,99.98,91.57,36.29,10.11,0,0,Calvin Ridley,WR,4,1,0,29,UFA,0.510652174,9.20E+07,2.30E+07,0,5.00E+06,5.00E+06,0,0
PIT,99.32,69.71,25.55,0,0,0,Cameron Johnston,P,3,8,0,32,UFA,0.319444444,9.00E+06,3.00E+06,0,958333,958334,0.32,0.36
ATL,99.46,65.64,32.52,0,0,0,Charlie Woerner,TE,3,6,0,26,UFA,0.346666667,1.20E+07,4.00E+06,0,1.00E+06,1.00E+06,0.25,0.28
TB,99.55,73.17,24.62,0,0,0,Chase McLaughlin,K,3,8,1,27,UFA,0.406504065,12300000,4100000,0,0,0,0.2,0.26
TEN,99.98,73.56,31.19,0,0,0,Chidobe Awuzie,CB,3,2,0,28,UFA,0.527777778,3.60E+07,1.20E+07,0,2500000,2500000,0.01,0.01
KC,99.98,99.69,71.04,45.53,10.44,0,Chris Jones,DT,5,2,1,29,UFA,0.377952756,158750000,31750000,0,6.00E+06,6.00E+06,0,0.01
LV,99.99,94.16,41.56,6.33,0,0,Christian Wilkins,DT,4,1,0,28,UFA,0.522727273,1.10E+08,27500000,0,4800000,4800000,0,0
CLE,98.89,80.37,0,0,0,0,Corey Bojorquez,P,2,8,1,27,UFA,0.6875,4.00E+06,2.00E+06,0,437500,437500,0.53,0.58
CHI,99.86,65.9,24.67,0,0,0,D'Andre Swift,RB,3,2,0,25,UFA,0.583333333,2.40E+07,8.00E+06,0,1333333,1333334,0.06,0.07
DET,99.99,52.46,0,0,0,0,D.J. Reader,DT,2,5,0,29,UFA,0.3375,2.20E+07,1.10E+07,0,1243000,1243000,0.01,0.01
CAR,99.79,48.17,0,0,0,0,D.J. Wonnum,EDGE,2,4,0,26,UFA,0.1,12500000,6250000,0,625000,625000,0.11,0.11
BUF,99.93,65.6,0,0,0,0,DaQuan Jones,DT,2,4,1,32,UFA,0.65625,1.60E+07,8.00E+06,0,1250000,1250000,0.04,0.03
HOU,99.98,77.11,25.9,0,0,0,Dalton Schultz,TE,3,4,1,27,UFA,0.652777778,3.60E+07,1.20E+07,0,2500000,2500000,0.01,0.01
CAR,99.94,84.07,66.48,17.48,0,0,Damien Lewis,LG,4,3,0,26,UFA,0.494622642,5.30E+07,13250000,0,3750000,3750000,0.03,0.03
CAR,99.56,69.37,0,0,0,0,Dane Jackson,CB,2,7,0,27,UFA,0.602941176,8500000,4250000,0,1500000,1500000,0.24,0.2
JAX,98.29,73.18,0,0,0,0,Daniel Thomas,S,2,5,1,25,UFA,0.5,4.00E+06,2.00E+06,0,437500,437500,0.81,0.9
HOU,99.99,99.1,0,0,0,0,Danielle Hunter,EDGE,2,3,0,29,UFA,0.979591837,4.90E+07,24500000,0,4200000,4200000,0,0
LA,99.79,51.9,22.63,0,0,0,Darious Williams,CB,3,8,0,31,SFA,0.311111111,22500000,7500000,0,1166666,1166668,0.1,0.1
ATL,99.99,81.63,51.09,0,0,0,Darnell Mooney,WR,3,5,0,26,UFA,0.666666667,3.90E+07,1.30E+07,0,5.00E+06,5.00E+06,0.01,0.01
JAX,99.79,57.42,26.22,0,0,0,Darnell Savage Jr.,S,3,1,0,26,UFA,0.574712644,21750000,7250000,0,1.00E+06,1.00E+06,0.09,0.1
PIT,98.94,60.56,0,0,0,0,DeShon Elliott,S,2,6,0,26,UFA,0.25,6.00E+06,3.00E+06,0,750000,750000,0.53,0.54
ARI,98.9,55.99,27.03,0,0,0,DeeJay Dallas,RB,3,4,0,25,UFA,0.29030303,8250000,2750000,0,333333,333334,0.48,0.6
NO,99.77,73.08,0,0,0,0,Demario Davis,LB,2,3,1,35,Extension,0.768115942,17250000,8625000,0,7733000,4233000,0.14,0.1
HOU,99.98,56.73,0,0,0,0,Denico Autry,EDGE,2,8,0,33,UFA,0.525,2.00E+07,1.00E+07,0,1500000,1500000,0.01,0.01
BAL,99.94,71.67,0,0,0,0,Derrick Henry,RB,2,2,0,30,UFA,0.5625,1.60E+07,8.00E+06,0,3895000,3895000,0.04,0.02
JAX,99.48,57.35,0,0,0,0,Devin Duvernay,WR,2,3,0,26,UFA,0.670588235,8500000,4250000,0,0,0,0.25,0.27
NYG,99.66,61.77,36.54,0,0,0,Devin Singletary,RB,3,3,0,26,UFA,0.575757576,16500000,5500000,0,1250000,1250000,0.16,0.18
BUF,99.99,63.87,25.36,0,0,0,Dion Dawkins,LT,3,2,1,29,Extension,0.502913753,60060000,20020000,0,4914834,2200000,0,0
WAS,99.96,65.71,41.99,0,0,0,Dorance Armstrong Jr.,EDGE,3,4,0,26,UFA,0.488636364,3.30E+07,1.10E+07,0,3.00E+06,3.00E+06,0.02,0.02
CIN,99.42,74.08,19.48,0,0,0,Drew Sample,TE,3,2,1,27,UFA,0.223809524,10500000,3500000,0,0,0,0.26,0.33
KC,99.8,75.7,32.06,0,0,0,Drue Tranquill,LB,3,4,1,28,UFA,0.657894737,1.90E+07,6333333,0,1500000,1500000,0.1,0.11
JAX,99.87,72.04,31.22,0,0,0,Ezra Cleveland,LG,3,2,1,25,UFA,0.59375,2.40E+07,8.00E+06,0,1400000,1400000,0.06,0.07
WAS,99.97,72.59,24.46,0,0,0,Frankie Luvu,EDGE,3,8,0,27,UFA,0.471774194,3.10E+07,10333333,0,2300000,2300000,0.02,0.02
LV,99.99,56.82,0,0,0,0,Gardner Minshew,QB,2,6,0,27,UFA,0.6,2.50E+07,12500000,0,1500000,1500000,0,0
CIN,99.86,58.31,0,0,0,0,Geno Stone,S,2,7,0,24,UFA,0.428571429,1.40E+07,7.00E+06,0,1500000,1500000,0.07,0.06
SEA,99.61,67.77,0,0,0,0,George Fant,LT,2,8,0,31,UFA,0.406593407,9100000,4550000,0,1850000,1850000,0.21,0.18
SF,99.16,70.42,0,0,0,0,George Odum,S,2,8,1,30,Extension,0.476666667,7500000,3750000,0,1216666,1216668,0.43,0.41
CHI,99.82,66.13,0,0,0,0,Gerald Everett,TE,2,2,0,29,UFA,0.505,1.20E+07,6.00E+06,0,1.00E+06,1.00E+06,0.09,0.08
DET,99.73,67.1,35.42,0,0,0,Graham Glasgow,RG,3,3,1,31,UFA,0.4,2.00E+07,6666667,0,1437500,1437500,0.13,0.14
NYJ,99.45,71.23,0,0,0,0,Greg Zuerlein,K,2,6,1,36,UFA,0.5,8400000,4200000,0,578000,578000,0.27,0.28
IND,99.97,68.58,30.19,0,0,0,Grover Stewart,DT,3,4,1,30,UFA,0.461282051,3.90E+07,1.30E+07,0,2.00E+06,2.00E+06,0.01,0.01
LAC,99.46,76.27,0,0,0,0,Gus Edwards,RB,2,8,0,28,UFA,0.519230769,6500000,3250000,0,1125000,1125000,0.27,0.26
NE,99.93,78.93,29.68,0,0,0,Hunter Henry,TE,3,2,1,29,UFA,0.585185185,2.70E+07,9.00E+06,0,2500000,2500000,0.04,0.04
MIA,98.52,75.01,0,0,0,0,Jake Bailey,P,2,5,1,26,UFA,0.529761905,4200000,2100000,0,550000,550000,0.72,0.77
PHI,99.45,76.06,61.26,29.48,0,0,Jake Elliott,K,4,5,1,29,Extension,0.404166667,2.40E+07,6.00E+06,0,1731000,1108000,0.23,0.32
CHI,99.99,93.79,59.42,23.92,0,0,Jaylon Johnson,CB,4,2,1,24,UFA,0.576315789,7.60E+07,1.90E+07,0,5.00E+06,5.00E+06,0.01,0.01
WAS,99.27,77.34,0,0,0,0,Jeremy Reaves,S,2,8,1,27,UFA,0.430327869,6100000,3050000,0,750000,750000,0.36,0.37
NYG,99.89,68.24,0,0,0,0,Jermaine Eluemunor,RT,2,5,0,29,UFA,0.482142857,1.40E+07,7.00E+06,0,2750000,2750000,0.06,0.05
CLE,99.99,63.85,29.64,0,0,0,Jerry Jeudy,WR,3,1,0,24,Extension,0.780952381,52500000,17500000,0,3575000,3575000,0,0
HOU,99.97,54.13,0,0,0,0,Joe Mixon,RB,2,2,0,27,Extension,0.658227848,19750000,9875000,0,2.00E+06,2.00E+06,0.02,0.01
MIN,96.06,52.4,0,0,0,0,John Parker Romo,K,2,8,0,26,SFA,0,1765000,882500,0,0,0,1.86,2.07
NYJ,99.77,51.67,0,0,0,0,John Simpson,LG,2,4,0,26,UFA,0.5,1.20E+07,6.00E+06,0,7.00E+05,7.00E+05,0.12,0.11
NYG,99.95,68.05,40.03,0,0,0,Jon Runyan Jr.,LG,3,6,0,26,UFA,0.566666667,3.00E+07,1.00E+07,0,2500000,2500000,0.03,0.03
LA,99.99,59.46,15.95,0,0,0,Jonah Jackson,LG,3,3,0,27,UFA,0.5,5.10E+07,1.70E+07,0,1416666,1416668,0,0
ARI,99.99,46.81,0,0,0,0,Jonah Williams,LT,2,1,0,26,UFA,0.633333333,3.00E+07,1.50E+07,0,3500000,3500000,0,0
MIN,99.98,84.49,55.69,13.92,0,0,Jonathan Greenard,EDGE,4,3,0,26,UFA,0.5,7.60E+07,1.90E+07,0,3300000,3300000,0.01,0.01
CHI,98.8,71.35,0,0,0,0,Jonathan Owens,S,2,8,0,28,UFA,0.24691358,4050000,2025000,0,375000,375000,0.58,0.62
SF,99.12,55.45,0,0,0,0,Jordan Elliott,DT,2,3,0,26,UFA,0.332142857,7.00E+06,3500000,0,465000,465000,0.43,0.45
CLE,99.4,61.11,0,0,0,0,Jordan Hicks,LB,2,3,0,31,UFA,0.5625,8.00E+06,4.00E+06,0,658000,658000,0.3,0.3
TB,99.33,37.14,0,0,0,0,Jordan Whitehead,S,2,4,0,26,SFA,0.5,9.00E+06,4500000,0,0,0,0.32,0.35
MIA,99.9,62.65,26.24,0,0,0,Jordyn Brooks,LB,3,1,0,26,UFA,0.361904762,26250000,8750000,0,1675000,1675000,0.05,0.05
CAR,99.74,65.43,29.96,0,0,0,Josey Jewell,LB,3,4,0,29,UFA,0.54,18750000,6250000,0,2333333,2333334,0.13,0.13
GB,99.92,80.64,54.9,14.5,0,0,Josh Jacobs,RB,4,1,0,26,UFA,0.260416667,4.80E+07,1.20E+07,0,3125000,3125000,0.04,0.05
ARI,99.95,69.43,32.05,0,0,0,Justin Jones,DT,3,3,0,27,UFA,0.569549174,31165000,10388333,0,3250000,3250000,0.03,0.02
BAL,99.99,94.49,68.57,26.11,0,0,Justin Madubuike,DT,4,3,1,26,UFA,0.494897959,9.80E+07,24500000,0,5.00E+06,5.00E+06,0,0
HOU,99.73,78.84,41.21,0,0,0,Ka'imi Fairbairn,K,3,8,1,30,UFA,0.695597484,15900000,5300000,0,1833110,1833110,0.14,0.14
LA,99.55,58.38,0,0,0,0,Kamren Curl,S,2,7,0,25,UFA,0.666666667,9.00E+06,4500000,0,0,0,0.21,0.25
GB,99.78,79.01,51.12,0,0,0,Keisean Nixon,CB,3,8,1,26,UFA,0.361111111,1.80E+07,6.00E+06,0,2166666,2166668,0.11,0.1
MIA,99.9,52.85,0,0,0,0,Kendall Fuller,CB,2,3,0,29,UFA,0.531666667,1.50E+07,7500000,0,1353000,1353000,0.06,0.05
NE,99.85,80.76,27.61,0,0,0,Kendrick Bourne,WR,3,8,1,28,UFA,0.282051282,19500000,6500000,0,1400000,1400000,0.07,0.08
