,Name,Year,Year1Csh,Year2Csh,Year3Csh,Year4Csh,Year5Csh,Year6Csh,Year7Csh,Year8Csh,Year9Csh,Year10Csh
1,A.J. Brown,2022,32000000,21000000,16000000,31000000,0,0,0,0,0,0
2,Aaron Donald,2022,31500000,28500000,35000000,0,0,0,0,0,0,0
3,Aaron Rodgers,2022,114865000,20900000,15050000,0,0,0,0,0,0,0
4,Adam Thielen,2022,14353529,13417647,16905882,0,0,0,0,0,0,0
5,Ahkello Witherspoon,2022,4000000,4000000,0,0,0,0,0,0,0,0
6,Al-Quadin Muhammad,2022,4000000,4000000,0,0,0,0,0,0,0,0
7,Alec Ingold,2022,3500000,3000000,0,0,0,0,0,0,0,0
8,Alex Cappa,2022,13500000,6500000,7000000,8000000,0,0,0,0,0,0
9,Allen Robinson,2022,15500000,15250000,15750000,0,0,0,0,0,0,0
10,Andrew Norwell,2022,5580000,4420000,0,0,0,0,0,0,0,0
11,Austin Corbett,2022,11000000,9000000,6250000,0,0,0,0,0,0,0
12,Austin Johnson,2022,7250000,6750000,0,0,0,0,0,0,0,0
13,B.J. Hill,2022,15000000,7500000,7500000,0,0,0,0,0,0,0
14,Ben Jones,2022,8000000,6000000,0,0,0,0,0,0,0,0
15,Bilal Nichols,2022,5500000,5500000,0,0,0,0,0,0,0,0
16,Bobby McCain,2022,5580000,4420000,0,0,0,0,0,0,0,0
17,Bobby Wagner,2022,6500000,11000000,11000000,10500000,11000000,0,0,0,0,0
18,Bradley Roby,2022,3500000,3500000,3500000,0,0,0,0,0,0,0
19,Brandin Cooks,2022,18500000,18500000,16500000,0,0,0,0,0,0,0
20,Brandon Bolden,2022,2755000,2255000,0,0,0,0,0,0,0,0
21,Brandon Scherff,2022,18000000,15000000,16500000,0,0,0,0,0,0,0
22,Braxton Berrios,2022,6500000,5500000,0,0,0,0,0,0,0,0
23,Brian Allen,2022,5035000,6000000,7000000,0,0,0,0,0,0,0
24,Brian Hoyer,2022,2000000,2000000,0,0,0,0,0,0,0,0
25,Bryan Anger,2022,3800000,2200000,3000000,0,0,0,0,0,0,0
26,Bryan Mone,2022,2805000,3295000,5900000,0,0,0,0,0,0,0
27,C.J. Uzomah,2022,8000000,8000000,8000000,0,0,0,0,0,0,0
28,Cam Robinson,2022,17750000,17250000,17750000,0,0,0,0,0,0,0
29,Cameron Brate,2022,4000000,4000000,0,0,0,0,0,0,0,0
30,Carl Granderson,2022,1205000,4060000,0,0,0,0,0,0,0,0
31,Carlton Davis,2022,15000000,15000000,14500000,0,0,0,0,0,0,0
32,Casey Hayward,2022,6000000,5000000,0,0,0,0,0,0,0,0
33,Chandler Jones,2022,17000000,17000000,17000000,0,0,0,0,0,0,0
34,Charles Harris,2022,7000000,6000000,0,0,0,0,0,0,0,0
35,Charvarius Ward,2022,13500000,14000000,13000000,0,0,0,0,0,0,0
36,Chase Edmonds,2022,6100000,6000000,0,0,0,0,0,0,0,0
37,Chris Godwin,2022,20000000,20000000,20000000,0,0,0,0,0,0,0
38,Christian Kirk,2022,22500000,16500000,16500000,16500000,0,0,0,0,0,0
