"","player","expectedyears"
"1","Aaron Rodgers",2.9994
"2","Deshaun Watson",4.9971
"3","Derek Carr",2.1559
"4","Jameis Winston",1.0132
"5","Marcus Mariota",0.9541
"6","Mitchell Trubisky",0.9856
"7","Tyrod Taylor",1.0154
"8","Colt McCoy",1.4256
"9","Trevor Siemian",1.1772
"10","Brian Hoyer",1.5844
"11","Leonard Fournette",1.8591
"12","James Conner",1.9097
"13","Chase Edmonds",0.8437
"14","Cordarrelle Patterson",1.4767
"15","Brandon Bolden",1.4554
"16","James White",1.2835
"17","Ty Montgomery",0.9801
"18","Patrick Ricard",2.2156
"19","Alec Ingold",0.5994
"20","Jason Cabinda",1.0067
"21","Tyreek Hill",2.9664
"22","Davante Adams",3.9586
"23","Cooper Kupp",2.324
"24","A.J. Brown",3.7909
"25","Stefon Diggs",2.6699
"26","Mike Williams",2.1798
"27","Chris Godwin",2.4661
"28","Brandin Cooks",1.0502
"29","Christian Kirk",3.0608
"30","Hunter Renfrow",1.023
"31","Allen Robinson",2.4527
"32","Adam Thielen",2.2501
"33","Michael Gallup",2.9789
"34","Russell Gage",2.3403
"35","Marquez Valdes-Scantling",2.2844
"36","Zay Jones",2.1717
"37","Braxton Berrios",1.5452
"38","J.D. McKissic",1.1652
"39","Jakeem Grant",1.9457
"40","Josh Reynolds",1.5801
"41","Kalif Raymond",1.7402
"42","Isaiah McKenzie",1.7434
"43","Gunner Olszewski",1.1682
"44","Ray-Ray McCloud",1.3522
"45","David Njoku",3.0819
"46","Zach Ertz",2.015
"47","C.J. Uzomah",2.3769
"48","Will Dissly",2.13
"49","Tyler Conklin",2.3545
"50","Gerald Everett",1.1952
"51","Mo Alie-Cox",2.1123
"52","Ian Thomas",1.9896
"53","Nick Boyle",1.4891
"54","Cameron Brate",1.5189
"55","Durham Smythe",1.5844
"56","Jake Matthews",2.0216
"57","Cam Robinson",2.2449
"58","Terron Armstead",3.4015
"59","Joseph Noteboom",2.0433
"60","Cornelius Lucas",1.0542
"61","Laken Tomlinson",2.5414
"62","Connor Williams",0.9605
"63","Andrew Norwell",0.853
"64","Ryan Bates",2.3414
"65","Ryan Jensen",2.1768
"66","Mitch Morse",1.1231
"67","Ben Jones",1.0757
"68","Brian Allen",1.9355
"69","Mason Cole",2.3304
"70","Justin Britt",1.455
"71","Brandon Scherff",2.6943
"72","James Daniels",2.5486
"73","Alex Cappa",3.1395
"74","Austin Corbett",2.5243
"75","Graham Glasgow",0.8272
"76","Mark Glowinski",2.2759
"77","Ted Karras",2.1388
"78","Chukwuma Okorafor",2.1159
"79","La'el Collins",2.2829
"80","Aaron Donald",2.9689
"81","Grady Jarrett",2.292
"82","D.J. Jones",2.3503
"83","B.J. Hill",2.0232
"84","Folorunso Fatukasi",2.3777
"85","Maliek Collins",1.2865
"86","Sebastian Joseph-Day",2.287
"87","DaQuan Jones",0.8369
"88","Austin Johnson",1.0404
"89","Harrison Phillips",2.4961
"90","Justin Jones",0.6677
"91","Bryan Mone",1.2151
"92","Michael Pierce",2.2295
"93","Bilal Nichols",0.8968
"94","Quinton Jefferson",1.0917
"95","Tim Settle",0.9378
"96","Maxx Crosby",3.1008
"97","Von Miller",3.879
"98","Harold Landry",3.4315
"99","Chandler Jones",2.4967
"100","Emmanuel Ogbah",2.4735
"101","Haason Reddick",2.9522
"102","Za'Darius Smith",2.323
"103","Randy Gregory",3.5439
"104","Demarcus Lawrence",2.6856
"105","Preston Smith",2.8613
"106","Uchenna Nwosu",0.6506
"107","Derek Barnett",1.0251
"108","Charles Harris",1.4592
"109","Jerry Hughes",1.0742
"110","Jacob Martin",2.4267
"111","Frankie Luvu",1.2301
"112","Al-Quadin Muhammad",1.1224
"113","Mario Addison",1.0868
"114","Carl Granderson",1.333
"115","Foyesade Oluokun",2.4324
"116","Zach Cunningham",1.892
"117","Bobby Wagner",3.1465
"118","De'Vondre Campbell",2.9425
"119","Myles Jack",1.1548
"120","Josey Jewell",1.4946
"121","Christian Kirksey",1.3383
"122","Jordan Hicks",0.8968
"123","Jalen Reeves-Maybin",1.2066
"124","Damien Wilson",1.0887
"125","Zaire Franklin",1.8203
"126","Jaire Alexander",3.1749
"127","Denzel Ward",3.6817
"128","Xavien Howard",3.8545
"129","J.C. Jackson",3.363
"130","Carlton Davis",2.1331
"131","Charvarius Ward",2.7821
"132","Donte Jackson",2.174
"133","D.J. Reed",2.6143
"134","Darious Williams",2.2246
"135","Stephon Gilmore",0.9233
"136","Rasul Douglas",1.8592
"137","Desmond King",1.3903
"138","Casey Hayward",0.8855
"139","Steven Nelson",0.9786
"140","Ahkello Witherspoon",1.3916
"141","Levi Wallace",1.0627
"142","Bradley Roby",1.8056
"143","Keion Crossen",2.2351
"144","Minkah Fitzpatrick",2.9536
"145","Marcus Williams",3.9666
"146","Quandre Diggs",1.9565
"147","Justin Reid",2.5193
"148","Tyrann Mathieu",2.5387
"149","Tracy Walker",1.8718
"150","Marcus Maye",2.157
"151","Jordan Whitehead",0.7218
"152","Jayron Kearse",1.503
"153","Bobby McCain",1.0468
"154","Xavier Woods",2.1336
"155","Eric Murray",1.3591
"156","Malik Hooker",1.2537
"157","Miles Killebrew",1.2801
"158","George Odum",2.3024
"159","Jovante Moffatt",1.3395
"160","Younghoe Koo",2.6747
"161","Dustin Hopkins",1.7673
"162","Nick Folk",1.4738
"163","Zane Gonzalez",1.5523
"164","Joey Slye",0.8169
"165","Bryan Anger",1.7525
"166","Johnny Hekker",2.1304
"167","Pat O'Donnell",1.112
