,player,Years,expectedyears,one,two,three,four,five,six
1,A'Shawn Robinson,3,2.0439,0.2793,0.3939,0.3256,0,0,0
2,A.J. Epenesa,2,1.6881,0.3075,0.6903,0,0,0,0
3,Aaron Brewer,3,2.0138,0.3331,0.3152,0.3501,0,0,0
4,Adam Trautman,2,1.767,0.2218,0.7726,0,0,0,0
5,Alohi Gilman,2,1.7301,0.2631,0.7335,0,0,0,0
6,Amik Robertson,2,1.5955,0.3947,0.6004,0,0,0,0
7,Andre James,3,2.1963,0.2341,0.3325,0.4324,0,0,0
8,Andrew Van Ginkel,2,1.6188,0.3808,0.619,0,0,0,0
9,Anfernee Jennings,3,2.1119,0.3118,0.2447,0.4369,0,0,0
10,Antonio Gibson,3,1.8869,0.3949,0.3014,0.2964,0,0,0
11,Arik Armstead,3,1.709,0.4862,0.318,0.1956,0,0,0
12,Arthur Maulet,2,1.7277,0.2417,0.743,0,0,0,0
13,Austin Ekeler,2,1.7572,0.2364,0.7604,0,0,0,0
14,Austin Schlottmann,2,1.7088,0.2576,0.7256,0,0,0,0
15,Azeez Al-Shaair,3,2.0389,0.2808,0.3986,0.3203,0,0,0
16,Baker Mayfield,3,2.0367,0.1774,0.6082,0.2143,0,0,0
17,Bilal Nichols,3,2.0047,0.2802,0.4301,0.2881,0,0,0
18,Blake Brandel,3,2.0855,0.3171,0.2476,0.4244,0,0,0
19,Blake Cashman,3,1.9348,0.281,0.4993,0.2184,0,0,0
20,Blake Gillikin,2,1.726,0.242,0.742,0,0,0,0
21,Blake Hance,2,1.7886,0.1836,0.8025,0,0,0,0
22,Braden Mann,2,1.7072,0.2614,0.7229,0,0,0,0
23,Brandon Jones,3,1.9016,0.3992,0.2922,0.306,0,0,0
24,Brian Burns,5,3.337,0.0058,0.2183,0.3192,0.345,0.1114,0
25,Bryce Huff,3,1.9891,0.281,0.4486,0.2703,0,0,0
26,C.J. Mosley,2,1.7433,0.2543,0.7445,0,0,0,0
27,Calvin Ridley,4,2.3795,0.0841,0.5528,0.2618,0.1011,0,0
28,Cameron Johnston,3,1.9458,0.2961,0.4416,0.2555,0,0,0
29,Charlie Woerner,3,1.9762,0.3382,0.3312,0.3252,0,0,0
30,Chase McLaughlin,3,1.9734,0.2638,0.4855,0.2462,0,0,0
31,Chidobe Awuzie,3,2.0473,0.2642,0.4237,0.3119,0,0,0
32,Chris Jones,5,3.2668,0.0029,0.2865,0.2551,0.3509,0.1044,0
33,Christian Wilkins,4,2.4204,0.0583,0.526,0.3523,0.0633,0,0
34,Corey Bojorquez,2,1.7926,0.1852,0.8037,0,0,0,0
35,D'Andre Swift,3,1.9043,0.3396,0.4123,0.2467,0,0,0
36,D.J. Reader,2,1.5245,0.4753,0.5246,0,0,0,0
37,D.J. Wonnum,2,1.4796,0.5162,0.4817,0,0,0,0
